,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Spends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Gap (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQGR% (Revenue),,,,12-M CMGR%,6-M CMGR%,YoY Quarter Growth,2024 - 2025,,,2025 - 2026,,,2026 - 2027,,,2027 - 2028,,,Seasonal Influence,,,,,,,,,,,
FACE GEL TOTAL,Aloe Vera Gel,NYKAA,ECOMMERCE,Tanu,Existing,Jan'24,No,30315,44845,46157,38318,59098,41699,48363,40728,40077,33131,47115,39958,48680,83437,107798,,,,,120135,121852,,129238,110389,89612,138828,122927,115919,70007,75958,82491,87440,92686,103809,119380,128930,139503,149268,161806,191577,201539,213631,226449,238904,250849,275934,309046,330679,353827,375056,397559,,,,,,,,,,,,,,,,18382.5,22072.5,11285.5,31009.5,32169,29901,28042,52890,31008,28089,41504,26151,,,,,,,,,,,,,,,,,,,,,,,,,6%,8%,7%,6%,8%,8%,9%,8%,10%,8%,11%,12%,9%,16%,12%,0%,0%,0%,0%,14%,14%,0%,15%,15%,15%,17%,15%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,19%,23%,6%,23%,15%,16%,13%,25%,23%,17%,20%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.1,,2.4,3.6,3.2,3.3,4.7,,22%,71%,29%,,,,,,1%,,,-15%,-19%,55%,-11%,-6%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,,,20%,-49%,175%,4%,-7%,-6%,89%,-41%,-9%,48%,-37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8%,,,-27%,9%,-7%,-26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,46%,628401,959656,,832981,1475124,,1327197,1802308,,3365050,4505768,,107798,241987,239627,228440,26950,80662,79876,114220,199%,-1%,43%,324%
FACE GEL TOTAL,Aloe Vera Gel,AMAZON,ECOMMERCE,Tanu,Existing,Jan'24,No,59133,57137,70452,68767,70407,46170,48305,46938,54403,54076,45259,41944,55781,40417,118766,,,,,157476,194826,167928,151758,150190,145633,247928,164924,312753,188882,204937,222562,235915,250071,280079,322091,347858,376383,402729,436559,516880,543758,576383,610966,644570,676798,744478,833815,892182,954635,1011913,1072628,35500,20000,10500,4500,1928.5,2117.5,,,,,,,,1658.5,18191.5,77659.5,73369,183466,88774.5,128253,78726,102655,48230,45589,67782,68292,,,,,,,,,,,,,,,,,,,,,,,,,,12%,11%,11%,11%,10%,9%,9%,10%,13%,14%,11%,13%,11%,8%,14%,0%,0%,0%,0%,18%,23%,21%,17%,21%,24%,30%,21%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,100%,100%,100%,100%,100%,100%,,,,,0%,0%,,45%,86%,81%,77%,94%,66%,58%,42%,47%,23%,33%,40%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.9,6.7,15.3,36.5,21.8,,,,,,,,24.4,6.5,,,,,1.2,2.5,1.6,3.1,3.3,2.1,3.6,,,33%,-28%,194%,,,,,,24%,-14%,-10%,-1%,-3%,70%,-33%,90%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,997%,327%,-6%,150%,-52%,44%,-39%,30%,-53%,-5%,49%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,803%,,,,,,-62%,44%,-43%,-4%,52%,-69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,0%,160%,691231,859854,,1380663,1979088,,3580819,4862684,,9079006,12156704,,118766,352302,469876,393561,29691,117434,156625,196781,296%,33%,26%,563%
FACE GEL TOTAL,Aloe Vera Gel,FLIPKART,ECOMMERCE,Tanu,Existing,Jan'24,No,3213,1370,2922,4640,9007,1671,4472,1671,5885,5300,1721,2738,179,2795,3076,,,,,857,3814,5692,5465,21701,8436,12352,23752,10253,6192,6718,7296,7734,8198,9182,10559,11404,12339,13203,14312,16945,17826,18896,20029,21131,22188,24406,27335,29248,31296,33174,35164,,,,,,,,,,,,,,2002,,,,1275,362,,,,,,,,1171,,,,,,,,,,,,,,,,,,,,,,,,,1%,0%,0%,1%,1%,0%,1%,0%,1%,1%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,1%,3%,1%,2%,3%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,55%,0%,0%,0%,1%,0%,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,20.3,,-93%,1465%,10%,,,,,,345%,49%,-4%,297%,-61%,46%,92%,-57%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,,,,,-72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,27%,636%,43152,24196,,82069,285024,,117390,159416,,297638,398536,,3076,4671,32858,20788,769,1557,10953,10394,102%,603%,-5%,1252%
FACE GEL TOTAL,Aloe Vera Gel,MYNTRA,ECOMMERCE,Tanu,Existing,Jan'25,No,,,,,,,,,,,,,4304,,,,,,,19814,15585,13471,10831,22357,18923,17446,25612,20089,12133,13164,14296,15153,16063,17990,20689,22344,24176,25869,28041,33201,34927,37023,39244,41402,43473,47820,53558,57307,61319,64998,68898,,,,,,,,,,,1555.5,136.5,,,,,,,15169,8041,9590,11199,7878,6140,9684,13339,18549,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,2%,2%,2%,1%,3%,3%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,,,,,100%,3%,,0%,0%,0%,0%,0%,11%,4%,5%,5%,4%,4%,6%,7%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.6,1.2,1.4,3.6,2.0,1.3,1.4,,,,,,,,,,-21%,-14%,-20%,106%,-15%,-8%,47%,-22%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,-47%,19%,17%,-30%,-22%,58%,38%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,30%,-10%,-128%,73%,46%,-8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,1340%,4304,17216,,144039,307344,,230007,312344,,583170,780860,,,35399,46659,36369,,11800,15553,18185,,32%,17%,
FACE GEL TOTAL,Aloe Vera Gel,BLINKIT,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Aloe Vera Gel,INSTAMART,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Aloe Vera Gel,ZEPTO,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Aloe Vera Gel,RETAIL,Retail,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Aloe Vera Gel,Bigbasket,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Aloe Vera Gel,Firstcry,ECOMMERCE,Tanu,Existing,Jan'25,No,,,,,,,,,,,,,3553,,,12369,10499,9201,16343,28582,30114,21131,23085,17910,23604,14402,22003,26004,15705,17039,18505,19615,20792,23287,26780,28923,31294,33485,36298,42976,45211,47924,50799,53593,56272,61900,69328,74181,79374,84136,89184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,2%,1%,2%,3%,3%,3%,3%,3%,4%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15%,-12%,78%,75%,5%,-30%,9%,-22%,32%,-39%,53%,18%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61%,56%,5%,,,1%,1589%,3553,14213,,229243,264040,,297727,404308,,754878,1010776,,32070,75039,62126,38006,8017,25013,20709,19003,212%,-17%,-8%,137%
FACE GEL TOTAL,Aloe Vera Gel,OTHERS,OTHERS,Tanu,Existing,Jan'24,No,2045,2776,6129,5707,6423,18736,8441,7396,8649,8101,8587,7622,,15881,28865,,,240169,232047,4885,4522,109309,137778,1645,12639,98396,16846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4412.5,,,2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,1%,1%,1%,1%,4%,2%,2%,2%,2%,2%,2%,0%,3%,3%,0%,0%,34%,29%,1%,1%,14%,16%,0%,2%,12%,2%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,0%,97%,,0%,14%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,9.6,,,,,,,,,,,,,,,,82%,,,,-3%,-98%,-7%,2317%,26%,-99%,668%,678%,-83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92%,,-4%,-27%,186%,124407,178984,,858236,202148,,,,,,,,269034,241454,248732,111035,67258,80485,82911,55518,20%,3%,-33%,-17%
FACE GEL TOTAL,Aloe Vera Gel,TOTAL,TOTAL,Tanu,Existing,Jan'24,No,484155,539308,652347,648662,704486,496582,513715,480850,405999,393069,415242,333366,520627,520444,878691,938842,684572,713124,787467,880578,864407,798627,879955,714939,613756,815027,796090,938549,566822,615001,667893,707964,750444,840497,966571,1043897,1129497,1208562,1310081,1551120,1631778,1729685,1833465,1934306,2031022,2234124,2502218,2677373,2864791,3036678,3218878,35500,20000,10500,4500,1928.5,2117.5,0,0,0,0,1555.5,4549,0,3660.5,21187.5,96042,95441.5,196026.5,135315,220786,188978,217973,210752,137639,168310,203921,162439,77506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,100%,100%,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,13.6,27.0,62.1,144.1,365.3,234.5,,,,,267.0,73.3,,142.2,41.5,9.8,7.2,3.6,5.8,4.0,4.6,3.7,4.2,5.2,3.6,4.0,4.9,12.1,56%,0%,69%,7%,-27%,4%,10%,12%,-2%,-8%,10%,-19%,-14%,33%,-2%,18%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,,,479%,353%,-1%,105%,-31%,63%,-14%,15%,-3%,-35%,22%,21%,-20%,-52%,,,,,,,,,,,,,,,,,,,,,,,,,410%,346%,26%,101%,-41%,51%,-13%,23%,-13%,-16%,36%,-12%,-18%,-70%,,,,,,,,,,,,,,,,,,,,,,,,17%,-4%,-5%,-40%,-1%,0%,16%,6311730,7679049,,9487384,9553080,,10745778,14592560,,27245438,36481388,,3215229,2532452,2393521,1428783,803807,844151,797840,714392,5%,-5%,-10%,-11%
FACE SERUM TOTAL,FACE SERUM,D2C,D2C,Tanu,New,Jul'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196930,831695,566534,599016,646656,710429,716989,767179,783511,742134,715665,772918,835049,880977,855135,940648,1053526,1127273,1206182,1278553,1355266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135984,430051,292942,309738,317653,348980,352202,376857,384879,364554,351552,379676,410196,432757,420063,462069,491641,526056,562880,596653,632452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,36%,23%,22%,20%,21%,19%,19%,18%,18%,17%,17%,17%,17%,16%,16%,16%,16%,16%,16%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,62%,44%,43%,40%,40%,38%,38%,36%,36%,34%,35%,35%,35%,33%,33%,31%,31%,31%,31%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62%,-32%,6%,8%,10%,1%,7%,2%,-5%,-4%,8%,8%,6%,-3%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,-62%,-32%,6%,3%,10%,1%,7%,2%,-5%,-4%,8%,8%,6%,-3%,10%,6%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,0%,0%,0%,-5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,,,,,,,,,,,,,,7818939,9070716,,11763326,15360004,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,NYKAA,ECOMMERCE,Tanu,New,Aug'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388124,283267,322547,377216,414417,456266,418461,470107,445281,477110,515279,556699,587318,534459,587905,658454,704545,753864,799095,847041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28719,20960,23867,27912,30664,33761,30964,34785,32948,35303,38128,41192,43458,39547,43501,48722,52132,55781,59128,62676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,11%,12%,12%,12%,12%,11%,11%,11%,11%,11%,12%,12%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,3%,3%,4%,4%,4%,3%,3%,3%,3%,3%,4%,4%,3%,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27%,14%,17%,10%,10%,-8%,12%,-5%,7%,8%,8%,6%,-9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,-27%,14%,17%,10%,10%,-8%,12%,-5%,7%,8%,8%,6%,-9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130405,5379336,,7467050,9600000,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,AMAZON,ECOMMERCE,Tanu,New,Aug'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887141,647468,691172,808320,828834,912532,976409,1018565,964775,1033738,1030558,1113398,1174635,1282702,1410972,1580289,1690909,1809273,1917829,2032899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182355,133089,142073,157845,161851,178195,190669,198901,188397,201864,201243,217420,229378,250481,275529,333537,356884,381866,404778,429065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,26%,25%,25%,24%,25%,25%,24%,24%,24%,23%,23%,23%,24%,24%,24%,24%,24%,24%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26%,20%,20%,20%,19%,19%,19%,19%,19%,20%,18%,19%,19%,20%,20%,21%,21%,21%,21%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27%,7%,17%,3%,10%,7%,4%,-5%,7%,0%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,-27%,7%,11%,3%,10%,7%,4%,-5%,7%,0%,8%,5%,9%,10%,21%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770441,11630024,,17041977,23040004,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,FLIPKART,ECOMMERCE,Tanu,New,Aug'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166339,121400,138234,161664,177607,195543,209231,235053,222640,238555,257639,278350,293659,320675,352743,395072,422727,452318,479457,508225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43888,32031,36472,42654,46861,51593,55204,62017,58742,62941,67977,73441,77480,80378,88416,99026,105957,113374,120177,127388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,5%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27%,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,-27%,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,5%,4%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405071,2559308,,4222060,5760000,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,MYNTRA,ECOMMERCE,Tanu,New,Aug'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55446,40467,46078,53888,59202,65181,69744,78351,74213,79518,85880,92783,97886,106892,117581,131691,140909,150773,159819,169408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5957,4347,4950,5789,6360,7003,7493,8417,7973,8543,9226,9968,10516,11484,12632,14148,15138,16198,17170,18200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27%,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,-27%,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468357,853104,,1407353,1920000,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,BLINKIT,QUICK COMMERCE,Tanu,New,Sep'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364201,414703,484992,532822,586628,627692,705160,667921,715665,772918,835049,880977,962026,1058229,1185217,1268182,1356954,1438372,1524674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78185,89026,104116,114384,125934,134750,151380,142808,153016,157630,170301,179668,196197,215817,241715,258635,276739,293344,310944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,15%,15%,16%,16%,16%,16%,16%,17%,17%,17%,17%,18%,18%,18%,18%,18%,18%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,12%,13%,13%,14%,14%,14%,14%,15%,14%,15%,15%,15%,15%,15%,15%,15%,15%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,-6%,7%,3%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3716198,7677920,,12666184,17280000,,,,,,,,,,,,,
FACE SERUM TOTAL,FACE SERUM,INSTAMART,QUICK COMMERCE,Tanu,New,Sep'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202334,230391,269440,296012,325904,348718,391756,371067,397592,429399,463916,489431,534459,587905,658454,704545,753864,799095,847041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49279,56112,65622,72094,79374,84931,95412,85855,91992,99351,107338,113241,123659,129224,144731,154862,165703,175645,186183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,9%,10%,9%,9%,9%,9%,9%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,-5%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,-10%,7%,8%,8%,5%,9%,5%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064555,4265512,,7036768,9600000,,,,,,,,,,,,,
